Ref,Val,Package,PosX,PosY,Rot,Side
"C402","2u2","C_0603_1608Metric",185.5625,-151.7750,90.0000,top
"IC401","TLV70218_SOT23-5","SOT-23-5",188.4625,-151.5500,180.0000,top
"J1","UART","PinHeader_1x04_P2.54mm_Vertical",174.6200,-150.1000,90.0000,top
"J402","Voltage","PinHeader_1x04_P2.54mm_Vertical",186.7900,-142.0000,90.0000,top
"R409","5k1","R_0603_1608Metric",200.1500,-140.8550,180.0000,top
"R410","5k1","R_0603_1608Metric",198.0500,-153.3550,180.0000,top
"R418","0R","R_0805_2012Metric",188.4250,-148.8500,180.0000,top
"X401","Debug","SHF-105-01-L-D-SM-TR",179.6000,-142.0000,-90.0000,top
"X403","Host","USB_C_Receptacle_Amphenol_12401610E4-2A",202.4750,-147.0750,90.0000,top
"X404","Device","PLUG-USBC-241SMT-4BC2SS",167.8000,-147.1000,-90.0000,top
